Method 1_Time / min,Method 1_Absorbance / mAu,Method 2_Time / min,Method 2_Absorbance / mAu,Method 3_Time / min,Method 3_Absorbance / mAu,Method 4_Time / min,Method 4_Absorbance / mAu,Method 5_Time / min,Method 5_Absorbance / mAu,Method 6_Time / min,Method 6_Absorbance / mAu,Method 7_Time / min,Method 7_Absorbance / mAu,Method 8_Time / min,Method 8_Absorbance / mAu,Method 9_Time / min,Method 9_Absorbance / mAu,Method 10_Time / min,Method 10_Absorbance / mAu,Method 11_Time / min,Method 11_Absorbance / mAu,Method 12_Time / min,Method 12_Absorbance / mAu,Method 13_Time / min,Method 13_Absorbance / mAu,Method 14_Time / min,Method 14_Absorbance / mAu,Method 15_Time / min,Method 15_Absorbance / mAu,Method 16_Time / min,Method 16_Absorbance / mAu,Method 17_Time / min,Method 17_Absorbance / mAu,Method 18_Time / min,Method 18_Absorbance / mAu,Method 19_Time / min,Method 19_Absorbance / mAu,Method 20_Time / min,Method 20_Absorbance / mAu,Method 21_Time / min,Method 21_Absorbance / mAu,Method 22_Time / min,Method 22_Absorbance / mAu,Method 23_Time / min,Method 23_Absorbance / mAu,Method 24_Time / min,Method 24_Absorbance / mAu,Method 25_Time / min,Method 25_Absorbance / mAu,Method 26_Time / min,Method 26_Absorbance / mAu,Method 27_Time / min,Method 27_Absorbance / mAu,Method 28_Time / min,Method 28_Absorbance / mAu,Method 29_Time / min,Method 29_Absorbance / mAu,Method 30_Time / min,Method 30_Absorbance / mAu,Method 31_Time / min,Method 31_Absorbance / mAu,Method 32_Time / min,Method 32_Absorbance / mAu,Method 33_Time / min,Method 33_Absorbance / mAu,Method 34_Time / min,Method 34_Absorbance / mAu,Method 35_Time / min,Method 35_Absorbance / mAu,Method 36_Time / min,Method 36_Absorbance / mAu,Method 37_Time / min,Method 37_Absorbance / mAu,Method 38_Time / min,Method 38_Absorbance / mAu,Method 39_Time / min,Method 39_Absorbance / mAu,Method 40_Time / min,Method 40_Absorbance / mAu
0.00291667,0,0.00333333,0,0.00333333,0,0.00375,0,0.0020833,0,0.0054167,0,0.00625,0,0.005,0,0.0066667,0,0.0033333,0,0.00541667,0,0.00375,0,0.00541667,0,0.00416667,0,0.0058333,0,0.00458333,0,0.00125,0,0.00458333,0,0.00333333,0,0.005,0,0.0058333,0,0.00458333,0,0.0029167,0,0.00125,0,0.00166667,0,0.00208333,0,0.00208333,0,0.00083333,0,0.000833333,0,0.0045833,0,0.00458333,0,0.00458333,0,0.00166667,0,0.00166667,0,0.000416667,0,0.000416667,0,0.00583333,0,0.00583333,0,0.00625,0,0.00625,0
0.00958333,0.001044568,0.01,0.001591723,0.01,9.948269e-05,0.0104167,0.00258655,0.00875,-0.001691206,0.012083,0.001691206,0.012917,-0.01850378,0.0116667,0.001343016,0.013333,0.001392758,0.01,0.001392758,0.0120833,0.003929566,0.010417,0.003133705,0.0120833,0.002785515,0.0108333,0.00442698,0.0125,-0.0004476721,0.01125,0.002735774,0.0079167,0.002437326,0.01125,0.002934739,0.01,0.001144051,0.0116667,-0.0007461202,0.0125,0.002387585,0.01125,0.0005471548,0.0095833,0.001243534,0.00791667,0.001641464,0.00833333,0.002138878,0.00875,0.003631118,0.00875,-0.00184043,0.0075,0.003929566,0.0075,0.001641464,0.01125,0.0007958615,0.01125,0.0005968961,0.01125,0.002337843,0.00833333,0.001193792,0.00833333,0.001243534,0.00708333,0.002785515,0.00708333,0.00258655,0.0125,0.0009948269,0.0125,0.001989654,0.0129167,-0.0003979308,0.0129167,0.002188619
0.01625,0.002238361,0.0166667,0.004029049,0.0166667,0.0006963788,0.0170833,0.004974135,0.015417,-0.004228014,0.01875,0.003133705,0.019583,-0.03984282,0.0183333,0.002536809,0.02,0.002636291,0.016667,0.003083963,0.01875,0.007809391,0.017083,0.006416634,0.01875,0.005471548,0.0175,0.00925189,0.019167,-0.0008953442,0.0179167,0.005521289,0.014583,0.004625945,0.0179167,0.005670513,0.0166667,0.002536809,0.0183333,-0.001442499,0.019167,0.004476721,0.0179167,0.00109431,0.01625,0.00258655,0.0145833,0.002934739,0.015,0.003879825,0.0154167,0.007809391,0.0154167,-0.002934739,0.014167,0.007958615,0.0141667,0.002934739,0.017917,0.001939912,0.0179167,0.0009450856,0.0179167,0.004625945,0.015,0.002835257,0.015,0.002188619,0.01375,0.005372065,0.01375,0.004874652,0.0191667,0.001890171,0.0191667,0.00368086,0.0195833,0.0003979308,0.0195833,0.004178273
0.0229167,0.002934739,0.0233333,0.006814564,0.0233333,0.00109431,0.02375,0.006466375,0.022083,-0.00741146,0.025417,0.003581377,0.02625,-0.06531039,0.025,0.002884998,0.026667,0.002934739,0.023333,0.004228014,0.0254167,0.01044568,0.02375,0.008754477,0.0254167,0.00701353,0.0241667,0.01313172,0.025833,-0.002188619,0.0245833,0.007113012,0.02125,0.006317151,0.0245833,0.007063271,0.0233333,0.00333267,0.025,-0.003034222,0.025833,0.005272583,0.0245833,0.001193792,0.022917,0.003034222,0.02125,0.004029049,0.0216667,0.005521289,0.0220833,0.01208715,0.0220833,-0.003631118,0.020833,0.01173896,0.0208333,0.003979308,0.024583,0.002884998,0.0245833,0.0006963788,0.0245833,0.005869479,0.0216667,0.00442698,0.0216667,0.002487067,0.0204167,0.008058098,0.0204167,0.006764823,0.0258333,0.002089136,0.0258333,0.003979308,0.02625,0.0002984481,0.02625,0.004924393
0.0295833,0.002437326,0.03,0.008257063,0.03,0.0005968961,0.0304167,0.00666534,0.02875,-0.0126343,0.032083,0.003083963,0.032917,-0.09510545,0.0316667,0.002238361,0.033333,0.002138878,0.03,0.004029049,0.0320833,0.01203741,0.030417,0.009450856,0.0320833,0.007212495,0.0308333,0.01546956,0.0325,-0.004775169,0.03125,0.006963788,0.027917,0.006864306,0.03125,0.006963788,0.03,0.002984481,0.0316667,-0.005670513,0.0325,0.004874652,0.03125,0.0004476721,0.029583,0.002089136,0.0279167,0.003830084,0.0283333,0.006167927,0.02875,0.01527059,0.02875,-0.004874652,0.0275,0.01397732,0.0275,0.004277756,0.03125,0.002835257,0.03125,-0.0004476721,0.03125,0.005620772,0.0283333,0.004924393,0.0283333,0.001343016,0.0270833,0.009649821,0.0270833,0.00741146,0.0325,0.001641464,0.0325,0.002636291,0.0329167,-0.001193792,0.0329167,0.004327497
0.03625,0.0005471548,0.0366667,0.007560684,0.0366667,-0.001044568,0.0370833,0.005769996,0.035417,-0.02034421,0.03875,0.002039395,0.039583,-0.1286311,0.0383333,0.0004974135,0.04,0.0003979308,0.036667,0.002337843,0.03875,0.01233585,0.037083,0.008804218,0.03875,0.005869479,0.0375,0.01581775,0.039167,-0.00850577,0.0379167,0.005023876,0.034583,0.00666534,0.0379167,0.005272583,0.0366667,0.001193792,0.0383333,-0.009152407,0.039167,0.003531635,0.0379167,-0.0007461202,0.03625,-0.0002487067,0.0345833,0.002138878,0.035,0.005720255,0.0354167,0.01721051,0.0354167,-0.006864306,0.034167,0.01452447,0.0341667,0.004029049,0.037917,0.001193792,0.0379167,-0.002686033,0.0379167,0.003879825,0.035,0.00407879,0.035,-0.0007958615,0.03375,0.009749304,0.03375,0.00701353,0.0391667,0.0005968961,0.0391667,9.948269e-05,0.0395833,-0.003979308,0.0395833,0.002686033
0.0429167,-0.001790688,0.0433333,0.005869479,0.0433333,-0.002735774,0.04375,0.0051731,0.042083,-0.02904895,0.045417,0.001243534,0.04625,-0.1633008,0.045,-0.0003979308,0.046667,-0.0005471548,0.043333,0.0004974135,0.0454167,0.01293275,0.04375,0.008207322,0.0454167,0.00442698,0.0441667,0.01537008,0.045833,-0.01153999,0.0445833,0.003083963,0.04125,0.006217668,0.0445833,0.00368086,0.0433333,-0.0007958615,0.045,-0.0117887,0.045833,0.003133705,0.0445833,-0.001641464,0.042917,-0.002984481,0.04125,-0.0005968961,0.0416667,0.004874652,0.0420833,0.01835456,0.0420833,-0.009052925,0.040833,0.01392758,0.0408333,0.003581377,0.044583,4.974135e-05,0.0445833,-0.004924393,0.0445833,0.002188619,0.0416667,0.002984481,0.0416667,-0.003233187,0.0404167,0.008456029,0.0404167,0.006366892,0.0458333,0.0002984481,0.0458333,-0.001740947,0.04625,-0.005471548,0.04625,0.001343016
0.0495833,-0.003581377,0.05,0.004675686,0.05,-0.003780342,0.0504167,0.005372065,0.04875,-0.03606248,0.052083,0.0007461202,0.052917,-0.1981695,0.0516667,-0.000149224,0.053333,-0.0004476721,0.05,-0.0007958615,0.0520833,0.01392758,0.050417,0.008107839,0.0520833,0.003432153,0.0508333,0.0149224,0.0525,-0.01367887,0.05125,0.00184043,0.047917,0.006267409,0.05125,0.002636291,0.05,-0.002188619,0.0516667,-0.01308197,0.0525,0.003581377,0.05125,-0.001989654,0.049583,-0.005123359,0.0479167,-0.002636291,0.0483333,0.004874652,0.04875,0.01969757,0.04875,-0.01054517,0.0475,0.01333068,0.0475,0.003531635,0.05125,0.0005968961,0.05125,-0.006317151,0.05125,0.0008456029,0.0483333,0.002636291,0.0483333,-0.004775169,0.0470833,0.007461202,0.0470833,0.006615599,0.0525,0.0005471548,0.0525,-0.002636291,0.0529167,-0.0051731,0.0529167,0.0004476721
0.05625,-0.004874652,0.0566667,0.003481894,0.0566667,-0.004924393,0.0570833,0.006018703,0.055417,-0.04153402,0.05875,0.0006466375,0.059583,-0.2330382,0.0583333,0.0004974135,0.06,0.0003481894,0.056667,-0.001641464,0.05875,0.01517111,0.057083,0.00775965,0.05875,0.002437326,0.0575,0.01432551,0.059167,-0.01507163,0.0579167,0.0009948269,0.054583,0.006516116,0.0579167,0.001939912,0.0566667,-0.003083963,0.0583333,-0.0132312,0.059167,0.00442698,0.0579167,-0.002089136,0.05625,-0.006914047,0.0545833,-0.00407879,0.055,0.005521289,0.0554167,0.02089136,0.0554167,-0.01168922,0.054167,0.01273378,0.0541667,0.00368086,0.057917,0.002387585,0.0579167,-0.007311978,0.0579167,-0.0003481894,0.055,0.002636291,0.055,-0.005769996,0.05375,0.00701353,0.05375,0.007311978,0.0591667,0.0009450856,0.0591667,-0.002934739,0.0595833,-0.003282929,0.0595833,-4.974135e-05
0.0629167,-0.00591922,0.0633333,0.001740947,0.0633333,-0.006167927,0.06375,0.006516116,0.062083,-0.04581178,0.065417,0.0007461202,0.06625,-0.2676084,0.065,0.0009948269,0.066667,0.001343016,0.063333,-0.002238361,0.0654167,0.01621568,0.06375,0.006963788,0.0654167,0.001243534,0.0641667,0.01357939,0.065833,-0.01621568,0.0645833,0.0001989654,0.06125,0.006814564,0.0645833,0.001293275,0.0633333,-0.003979308,0.065,-0.01273378,0.065833,0.005222841,0.0645833,-0.001890171,0.062917,-0.008107839,0.06125,-0.004974135,0.0616667,0.006068444,0.0620833,0.02158774,0.0620833,-0.01258456,0.060833,0.01188818,0.0608333,0.00368086,0.064583,0.004526462,0.0645833,-0.008257063,0.0645833,-0.001144051,0.0616667,0.002934739,0.0616667,-0.006317151,0.0604167,0.00666534,0.0604167,0.008157581,0.0658333,0.0009948269,0.0658333,-0.003083963,0.06625,0.000149224,0.06625,-0.0006466375
