Method 1_Time / min,Method 1_Absorbance / mAu,Method 2_Time / min,Method 2_Absorbance / mAu,Method 3_Time / min,Method 3_Absorbance / mAu,Method 4_Time / min,Method 4_Absorbance / mAu,Method 5_Time / min,Method 5_Absorbance / mAu,Method 6_Time / min,Method 6_Absorbance / mAu,Method 7_Time / min,Method 7_Absorbance / mAu,Method 8_Time / min,Method 8_Absorbance / mAu,Method 9_Time / min,Method 9_Absorbance / mAu,Method 10_Time / min,Method 10_Absorbance / mAu,Method 11_Time / min,Method 11_Absorbance / mAu,Method 12_Time / min,Method 12_Absorbance / mAu,Method 13_Time / min,Method 13_Absorbance / mAu,Method 14_Time / min,Method 14_Absorbance / mAu,Method 15_Time / min,Method 15_Absorbance / mAu,Method 16_Time / min,Method 16_Absorbance / mAu,Method 17_Time / min,Method 17_Absorbance / mAu,Method 18_Time / min,Method 18_Absorbance / mAu,Method 19_Time / min,Method 19_Absorbance / mAu,Method 20_Time / min,Method 20_Absorbance / mAu,Method 21_Time / min,Method 21_Absorbance / mAu,Method 22_Time / min,Method 22_Absorbance / mAu,Method 23_Time / min,Method 23_Absorbance / mAu,Method 24_Time / min,Method 24_Absorbance / mAu,Method 25_Time / min,Method 25_Absorbance / mAu,Method 26_Time / min,Method 26_Absorbance / mAu,Method 27_Time / min,Method 27_Absorbance / mAu,Method 28_Time / min,Method 28_Absorbance / mAu,Method 29_Time / min,Method 29_Absorbance / mAu,Method 30_Time / min,Method 30_Absorbance / mAu,Method 31_Time / min,Method 31_Absorbance / mAu,Method 32_Time / min,Method 32_Absorbance / mAu,Method 33_Time / min,Method 33_Absorbance / mAu,Method 34_Time / min,Method 34_Absorbance / mAu,Method 35_Time / min,Method 35_Absorbance / mAu,Method 36_Time / min,Method 36_Absorbance / mAu,Method 37_Time / min,Method 37_Absorbance / mAu,Method 38_Time / min,Method 38_Absorbance / mAu,Method 39_Time / min,Method 39_Absorbance / mAu,Method 40_Time / min,Method 40_Absorbance / mAu
0.0066667,0,0.0066667,0,0.000416667,0,0.0054167,0,0.00416667,0,0.000833333,0,0.000833333,0,0.00583333,0,0.00291667,0,0.00125,0,0.0016667,0,0.0066667,0,0.005,0,0.00041667,0,0.00541667,0,0.00208333,0,0.0058333,0,0.00083333,0,0.0025,0,0.00125,0,0.00458333,0,0.0045833,0,0.00166667,0,0.00666667,0,0.00375,0,0.00041667,0,0.0020833,0,0.00041667,0,0.00375,0,0.00416667,0,0.000833333,0,0.0025,0,0.0029167,0,0.00125,0,0.0033333,0,0.0016667,0,0.00333333,0,0.0054167,0,0.00375,0,0.0058333,0
0.013333,0.001816568,0.013333,0.002573471,0.00708333,0.003078073,0.012083,0.003834976,0.0108333,0.002169789,0.0075,0.003481754,0.0075,0.003431294,0.0125,0.002220249,0.00958333,0.002876232,0.00791667,0.002169789,0.0083333,0.001665187,0.013333,0.002977152,0.0116667,0.003279914,0.0070833,0.002623931,0.0120833,0.00232117,0.00875,-0.0005550623,0.0125,0.002674391,0.0075,0.004390038,0.00916667,0.003380834,0.00791667,0.0007064429,0.01125,0.002018408,0.01125,0.003885436,0.00833333,0.004087277,0.0133333,0.00247255,0.010417,0.00252301,0.0070833,-0.0003532215,0.00875,0.001867028,0.0070833,0.004036817,0.010417,0.001362426,0.0108333,0.001211045,0.0075,0.001614727,0.00916667,0.001362426,0.0095833,0.002926692,0.0079167,0.001917488,0.01,0.001311965,0.0083333,0.00484418,0.01,0.0003027613,0.012083,0.0005550623,0.0104167,0.001311965,0.0125,0.0004036817
0.02,0.004036817,0.02,0.005298322,0.01375,0.005550623,0.01875,0.007821333,0.0175,0.004087277,0.0141667,0.006862589,0.0141667,0.006660748,0.0191667,0.004591879,0.01625,0.005802924,0.0145833,0.003986357,0.015,0.003380834,0.02,0.006257066,0.0183333,0.006711208,0.01375,0.004995561,0.01875,0.00489464,0.0154167,-0.001261505,0.019167,0.005247862,0.014167,0.008376395,0.0158333,0.006812128,0.0145833,0.001513806,0.0179167,0.003986357,0.017917,0.007518571,0.015,0.007922253,0.02,0.005146941,0.017083,0.004995561,0.01375,-0.001211045,0.015417,0.003431294,0.01375,0.007669952,0.017083,0.002977152,0.0175,0.00252301,0.0141667,0.002724851,0.0158333,0.00237163,0.01625,0.005601083,0.014583,0.003734056,0.016667,0.002926692,0.015,0.009032378,0.0166667,0.0009082838,0.01875,0.001715647,0.0170833,0.002674391,0.019167,0.000252301
0.026667,0.00474326,0.026667,0.007013969,0.0204167,0.007972713,0.025417,0.01019296,0.0241667,0.004945101,0.0208333,0.009991122,0.0208333,0.009234218,0.0258333,0.006156146,0.0229167,0.008124094,0.02125,0.005449703,0.021667,0.0046928,0.026667,0.008325935,0.025,0.008729616,0.020417,0.007619492,0.0254167,0.006257066,0.0220833,-0.002119329,0.025833,0.006458907,0.020833,0.01150493,0.0225,0.009890201,0.02125,0.002724851,0.0245833,0.004490959,0.024583,0.0096379,0.0216667,0.01145447,0.0266667,0.006156146,0.02375,0.006458907,0.020417,-0.002018408,0.022083,0.004490959,0.020417,0.01130309,0.02375,0.004137737,0.0241667,0.003027613,0.0208333,0.003532215,0.0225,0.003078073,0.022917,0.00721581,0.02125,0.005146941,0.023333,0.004036817,0.021667,0.01231229,0.0233333,0.001463346,0.025417,0.00242209,0.02375,0.003481754,0.025833,-0.001261505
0.033333,0.003380834,0.033333,0.00711489,0.0270833,0.008527775,0.032083,0.009940661,0.0308333,0.004289118,0.0275,0.01160585,0.0275,0.0103948,0.0325,0.006711208,0.0295833,0.008729616,0.0279167,0.005348782,0.028333,0.004945101,0.033333,0.008679156,0.0316667,0.008729616,0.027083,0.008931457,0.0320833,0.005954305,0.02875,-0.004188197,0.0325,0.005752464,0.0275,0.01241321,0.0291667,0.01165631,0.0279167,0.003582675,0.03125,0.003078073,0.03125,0.009789281,0.0283333,0.0133215,0.0333333,0.005197402,0.030417,0.006307526,0.027083,-0.003683595,0.02875,0.004188197,0.027083,0.01342242,0.030417,0.004238658,0.0308333,0.001867028,0.0275,0.003078073,0.0291667,0.003279914,0.029583,0.006509367,0.027917,0.005500163,0.03,0.004036817,0.028333,0.01362426,0.03,0.000958744,0.032083,0.001967948,0.0304167,0.002573471,0.0325,-0.003986357
0.04,0.0006559827,0.04,0.005601083,0.03375,0.007064429,0.03875,0.007064429,0.0375,0.00232117,0.0341667,0.01115171,0.0341667,0.009890201,0.0391667,0.006004765,0.03625,0.00731673,0.0345833,0.003683595,0.035,0.004440498,0.04,0.007669952,0.0383333,0.006458907,0.03375,0.008880997,0.03875,0.003885436,0.0354167,-0.007821333,0.039167,0.003330374,0.034167,0.01130309,0.0358333,0.01155539,0.0345833,0.003431294,0.0379167,-0.0005046021,0.037917,0.007821333,0.035,0.01367472,0.04,0.002724851,0.037083,0.00474326,0.03375,-0.006357986,0.035417,0.002573471,0.03375,0.01362426,0.037083,0.002926692,0.0375,-0.0006055225,0.0341667,0.001564267,0.0358333,0.002977152,0.03625,0.003935896,0.034583,0.0046928,0.036667,0.002724851,0.035,0.01271597,0.0366667,-0.0006559827,0.03875,0.0001009204,0.0370833,-0.0006055225,0.039167,-0.007871793
0.046667,-0.0007064429,0.046667,0.004490959,0.0404167,0.003431294,0.045417,0.004289118,0.0441667,0.0001513806,0.0408333,0.009486519,0.0408333,0.008426855,0.0458333,0.005550623,0.0429167,0.005197402,0.04125,0.000958744,0.041667,0.003481754,0.046667,0.006862589,0.045,0.003784516,0.040417,0.007821333,0.0454167,0.002119329,0.0420833,-0.01231229,0.045833,0.001412886,0.040833,0.008880997,0.0425,0.01089941,0.04125,0.002623931,0.0445833,-0.004490959,0.044583,0.005550623,0.0416667,0.01317011,0.0466667,0.0009082838,0.04375,0.003532215,0.040417,-0.0096379,0.042083,0.0008073634,0.040417,0.01221137,0.04375,0.001614727,0.0441667,-0.00232117,0.0408333,-0.0007064429,0.0425,0.00242209,0.042917,0.001311965,0.04125,0.003582675,0.043333,0.001160585,0.041667,0.01054618,0.0433333,-0.002270709,0.045417,-0.001513806,0.04375,-0.003582675,0.045833,-0.01105079
0.053333,-0.0003532215,0.053333,0.003834976,0.0470833,0.0002018408,0.052083,0.002623931,0.0508333,-0.001665187,0.0475,0.008426855,0.0475,0.00716535,0.0525,0.005651543,0.0495833,0.003683595,0.0479167,-0.001211045,0.048333,0.002926692,0.053333,0.006458907,0.0516667,0.001766107,0.047083,0.007417651,0.0520833,0.001160585,0.04875,-0.01604635,0.0525,0.0005046021,0.0475,0.006862589,0.0491667,0.01105079,0.0479167,0.00247255,0.05125,-0.007619492,0.05125,0.003784516,0.0483333,0.01327104,0.0533333,0.0001513806,0.050417,0.003481754,0.047083,-0.01135355,0.04875,5.046021e-05,0.047083,0.01155539,0.050417,0.001110125,0.0508333,-0.002775312,0.0475,-0.00232117,0.0491667,0.002220249,0.049583,-0.0004036817,0.047917,0.002876232,0.05,0.0001513806,0.048333,0.009183758,0.05,-0.002926692,0.052083,-0.00247255,0.0504167,-0.004490959,0.0525,-0.01286735
0.06,0.0007064429,0.06,0.003330374,0.05375,-0.002169789,0.05875,0.001665187,0.0575,-0.003128533,0.0541667,0.007871793,0.0541667,0.006156146,0.0591667,0.005903845,0.05625,0.002674391,0.0545833,-0.002775312,0.055,0.002623931,0.06,0.005853384,0.0583333,0.0003532215,0.05375,0.007871793,0.05875,0.0009082838,0.0554167,-0.01867028,0.059167,0.0002018408,0.054167,0.005247862,0.0558333,0.01155539,0.0545833,0.002977152,0.0579167,-0.009940661,0.057917,0.002270709,0.055,0.01352334,0.06,-0.0001009204,0.057083,0.003582675,0.05375,-0.01140401,0.055417,-0.0001513806,0.05375,0.01155539,0.057083,0.001261505,0.0575,-0.002825772,0.0541667,-0.003431294,0.0558333,0.002169789,0.05625,-0.001564267,0.054583,0.002169789,0.056667,-0.0003532215,0.055,0.008527775,0.0566667,-0.003330374,0.05875,-0.003279914,0.0570833,-0.003683595,0.059167,-0.01372518
0.066667,0.001766107,0.066667,0.002623931,0.0604167,-0.003683595,0.065417,0.001311965,0.0641667,-0.004087277,0.0608333,0.00726627,0.0608333,0.005550623,0.0658333,0.005853384,0.0629167,0.001665187,0.06125,-0.003885436,0.061667,0.002674391,0.066667,0.005197402,0.065,-0.0005550623,0.060417,0.008376395,0.0654167,0.001211045,0.0620833,-0.02063823,0.065833,0.0002018408,0.060833,0.004036817,0.0625,0.01170677,0.06125,0.003431294,0.0645833,-0.01135355,0.064583,0.0007064429,0.0616667,0.01347288,0.0666667,-0.0002018408,0.06375,0.003431294,0.060417,-0.0106471,0.062083,-0.000252301,0.060417,0.01165631,0.06375,0.001564267,0.0641667,-0.002674391,0.0608333,-0.004390038,0.0625,0.002018408,0.062917,-0.002825772,0.06125,0.001362426,0.063333,-0.0006055225,0.061667,0.008174554,0.0633333,-0.003834976,0.065417,-0.004036817,0.06375,-0.001564267,0.065833,-0.01402794
