Method 1_Time / min,Method 1_Absorbance / mAu,Method 2_Time / min,Method 2_Absorbance / mAu,Method 3_Time / min,Method 3_Absorbance / mAu,Method 4_Time / min,Method 4_Absorbance / mAu,Method 5_Time / min,Method 5_Absorbance / mAu,Method 6_Time / min,Method 6_Absorbance / mAu,Method 7_Time / min,Method 7_Absorbance / mAu,Method 8_Time / min,Method 8_Absorbance / mAu,Method 9_Time / min,Method 9_Absorbance / mAu,Method 10_Time / min,Method 10_Absorbance / mAu,Method 11_Time / min,Method 11_Absorbance / mAu,Method 12_Time / min,Method 12_Absorbance / mAu,Method 13_Time / min,Method 13_Absorbance / mAu,Method 14_Time / min,Method 14_Absorbance / mAu,Method 15_Time / min,Method 15_Absorbance / mAu,Method 16_Time / min,Method 16_Absorbance / mAu,Method 17_Time / min,Method 17_Absorbance / mAu,Method 18_Time / min,Method 18_Absorbance / mAu,Method 19_Time / min,Method 19_Absorbance / mAu,Method 20_Time / min,Method 20_Absorbance / mAu,Method 21_Time / min,Method 21_Absorbance / mAu,Method 22_Time / min,Method 22_Absorbance / mAu,Method 23_Time / min,Method 23_Absorbance / mAu,Method 24_Time / min,Method 24_Absorbance / mAu,Method 25_Time / min,Method 25_Absorbance / mAu,Method 26_Time / min,Method 26_Absorbance / mAu,Method 27_Time / min,Method 27_Absorbance / mAu,Method 28_Time / min,Method 28_Absorbance / mAu,Method 29_Time / min,Method 29_Absorbance / mAu,Method 30_Time / min,Method 30_Absorbance / mAu,Method 31_Time / min,Method 31_Absorbance / mAu,Method 32_Time / min,Method 32_Absorbance / mAu,Method 33_Time / min,Method 33_Absorbance / mAu,Method 34_Time / min,Method 34_Absorbance / mAu,Method 35_Time / min,Method 35_Absorbance / mAu,Method 36_Time / min,Method 36_Absorbance / mAu,Method 37_Time / min,Method 37_Absorbance / mAu,Method 38_Time / min,Method 38_Absorbance / mAu,Method 39_Time / min,Method 39_Absorbance / mAu,Method 40_Time / min,Method 40_Absorbance / mAu,Method 41_Time / min,Method 41_Absorbance / mAu,Method 42_Time / min,Method 42_Absorbance / mAu,Method 43_Time / min,Method 43_Absorbance / mAu,Method 44_Time / min,Method 44_Absorbance / mAu,Method 45_Time / min,Method 45_Absorbance / mAu,Method 46_Time / min,Method 46_Absorbance / mAu,Method 47_Time / min,Method 47_Absorbance / mAu,Method 48_Time / min,Method 48_Absorbance / mAu,Method 49_Time / min,Method 49_Absorbance / mAu,Method 50_Time / min,Method 50_Absorbance / mAu
0.00125,0,0.00125,0,0.005,0,0.005,0,0.005,0,0.00208333,0,0.00208333,0,0.00583333,0,0.00416667,0,0.00291667,0,0.00291667,0,0.005,0,0.0066667,0,0.0066667,0,0.0016667,0,0.00208333,0,0.00541667,0,0.0025,0,0.0025,0,0.0029167,0,0.00625,0,0.00125,0,0.00666667,0,0.00375,0,0.00541667,0,0.00625,0,0.00625,0,0.0033333,0,0.00333333,0,0.00208333,0,0.00375,0,0.00541667,0,0.0025,0,0.000833333,0,0.0025,0,0.0045833,0,0.00625,0,0.00166667,0,0.005,0,0.0033333,0,0.00333333,0,0.0054167,0,0.00041667,0,0.0054167,0,0.00416667,0,0.0025,0,0.0025,0,0.0029167,0,0.0045833,0,0.0045833,0
0.00791667,0.001729236,0.0079167,0.00176945,0.011667,-0.0001608591,0.011667,0.00176945,0.011667,0.0005630069,0.00875,0.0013673,0.00875,0.00128687,0.0125,0.00184988,0.0108333,0.00184988,0.00958333,0.00184988,0.00958333,0.000723866,0.011667,0.001367302,0.013333,0.0009651547,0.013333,0.001729236,0.0083333,0.002010739,0.00875,0.001166229,0.0120833,0.001729236,0.00916667,0.003337827,0.00916667,0.002895464,0.0095833,0.002935679,0.012917,0.00249332,0.00791667,0.002453102,0.0133333,0.0008847251,0.0104167,0.001407517,0.0120833,0.002855249,0.0129167,0.002010739,0.012917,0.001729236,0.01,0.002453102,0.01,0.001447732,0.00875,0.002975894,0.0104167,0.001689021,0.0120833,0.002010739,0.0091667,8.042956e-05,0.0075,0.001930309,0.0091667,0.002131383,0.01125,0.002050954,0.0129167,0.002975894,0.00833333,0.001890095,0.011667,0.002734605,0.01,0.003579115,0.01,0.0009651547,0.012083,0.001246658,0.0070833,0.001890095,0.012083,0.001246658,0.0108333,0.001005369,0.0091667,0.002252028,0.0091667,0.00176945,0.0095833,0.001487947,0.01125,0.002211813,0.01125,0.00176945
0.0145833,0.003297612,0.014583,0.003378041,0.018333,-0.000361933,0.018333,0.003297612,0.018333,0.001206443,0.0154167,0.0024531,0.0154167,0.00285525,0.0191667,0.003780189,0.0175,0.003538901,0.01625,0.003780189,0.01625,0.001126014,0.018333,0.002815035,0.02,0.002453102,0.02,0.003176968,0.015,0.004021478,0.0154167,0.002573746,0.01875,0.003739974,0.0158333,0.006675653,0.0158333,0.006032217,0.01625,0.00554964,0.019583,0.00486599,0.0145833,0.0046247,0.02,0.001809665,0.0170833,0.002734605,0.01875,0.005951787,0.0195833,0.004584485,0.019583,0.003820404,0.016667,0.004664914,0.0166667,0.002654175,0.0154167,0.005831143,0.0170833,0.003337827,0.01875,0.003739974,0.015833,-8.042956e-05,0.0141667,0.003458471,0.015833,0.004021478,0.017917,0.004302981,0.0195833,0.005911573,0.015,0.003900834,0.018333,0.005831143,0.016667,0.007077801,0.0166667,0.002050954,0.01875,0.002453102,0.01375,0.003136753,0.01875,0.002412887,0.0175,0.002252028,0.015833,0.004383411,0.015833,0.003659545,0.01625,0.002815035,0.017917,0.004785559,0.017917,0.003860619
0.02125,0.004946418,0.02125,0.004785559,0.025,-0.001246658,0.025,0.003941048,0.025,0.001126014,0.0220833,0.00329761,0.0220833,0.00446384,0.0258333,0.005026847,0.0241667,0.004504055,0.0229167,0.005428995,0.0229167,0.000723866,0.025,0.003538901,0.026667,0.002855249,0.026667,0.003337827,0.021667,0.006635439,0.0220833,0.003820404,0.0254167,0.0046247,0.0225,0.009530903,0.0225,0.008726607,0.022917,0.007640808,0.02625,0.00591157,0.02125,0.007118016,0.0266667,0.002091169,0.02375,0.003739974,0.0254167,0.007962526,0.02625,0.006514794,0.02625,0.004946418,0.023333,0.005911573,0.0233333,0.003378041,0.0220833,0.008002741,0.02375,0.004504055,0.0254167,0.004343196,0.0225,-0.0004021478,0.0208333,0.0046247,0.0225,0.005348566,0.024583,0.005710499,0.02625,0.007399519,0.0216667,0.005992002,0.025,0.008123385,0.023333,0.009611332,0.0233333,0.002654175,0.025417,0.002895464,0.020417,0.004423626,0.025417,0.002453102,0.0241667,0.003096538,0.0225,0.005911573,0.0225,0.005067062,0.022917,0.003659545,0.024583,0.006635439,0.024583,0.005227921
0.0279167,0.005268136,0.027917,0.005227921,0.031667,-0.003056323,0.031667,0.003579115,0.031667,0.000361933,0.02875,0.00281503,0.02875,0.00474534,0.0325,0.005308351,0.0308333,0.004504055,0.0295833,0.005951787,0.0295833,-0.001367302,0.031667,0.003176968,0.033333,0.00176945,0.033333,0.002091169,0.028333,0.007962526,0.02875,0.003860619,0.0320833,0.00361933,0.0291667,0.01049606,0.0291667,0.009772191,0.029583,0.008083171,0.032917,0.005429,0.0279167,0.008404889,0.0333333,0.001407517,0.0304167,0.003418256,0.0320833,0.008364674,0.0329167,0.007198445,0.032917,0.004785559,0.03,0.005589854,0.03,0.002734605,0.02875,0.008686392,0.0304167,0.004423626,0.0320833,0.00361933,0.029167,-0.001809665,0.0275,0.004504055,0.029167,0.005509425,0.03125,0.005750713,0.0329167,0.006957157,0.0283333,0.006916942,0.031667,0.009008111,0.03,0.01069713,0.03,0.002372672,0.032083,0.002292242,0.027083,0.004423626,0.032083,0.0009651547,0.0308333,0.002975894,0.029167,0.006273506,0.029167,0.004946418,0.029583,0.00361933,0.03125,0.006715868,0.03125,0.005589854
0.0345833,0.003900834,0.034583,0.00454427,0.038333,-0.005750713,0.038333,0.002332457,0.038333,-0.001126014,0.0354167,0.000603222,0.0354167,0.0035389,0.0391667,0.00446384,0.0375,0.003337827,0.03625,0.00546921,0.03625,-0.004986633,0.038333,0.001930309,0.04,-0.0006434365,0.04,-0.0001608591,0.035,0.00731909,0.0354167,0.002613961,0.03875,0.0006836512,0.0358333,0.009289614,0.0358333,0.008726607,0.03625,0.006273506,0.039583,0.00369976,0.0345833,0.008083171,0.04,0.0002412887,0.0370833,0.001608591,0.03875,0.007399519,0.0395833,0.006675653,0.039583,0.00369976,0.036667,0.003860619,0.0366667,0.0004825773,0.0354167,0.008042956,0.0370833,0.002935679,0.03875,0.001608591,0.035833,-0.004504055,0.0341667,0.003378041,0.035833,0.0046247,0.037917,0.00446384,0.0395833,0.004705129,0.035,0.006273506,0.038333,0.007962526,0.036667,0.01045584,0.0366667,0.001487947,0.03875,0.0007640808,0.03375,0.00269439,0.03875,-0.001970524,0.0375,0.002050954,0.035833,0.004986633,0.035833,0.003257397,0.03625,0.002654175,0.037917,0.004986633,0.037917,0.005026847
0.04125,0.001729236,0.04125,0.003217182,0.045,-0.0081636,0.045,0.001327088,0.045,-0.002613961,0.0420833,-0.00249332,0.0420833,0.00184988,0.0458333,0.003498686,0.0441667,0.002332457,0.0429167,0.004986633,0.0429167,-0.008605963,0.045,0.001126014,0.046667,-0.002131383,0.046667,-0.001970524,0.041667,0.00546921,0.0420833,0.001045584,0.0454167,-0.001930309,0.0425,0.007158231,0.0425,0.006957157,0.042917,0.003176968,0.04625,0.00265418,0.04125,0.006635439,0.0466667,-0.0002010739,0.04375,4.021478e-05,0.0454167,0.006715868,0.04625,0.007158231,0.04625,0.003820404,0.043333,0.001930309,0.0433333,-0.001890095,0.0420833,0.006957157,0.04375,0.001689021,0.0454167,8.042956e-05,0.0425,-0.007399519,0.0408333,0.00184988,0.0425,0.003780189,0.044583,0.003136753,0.04625,0.003136753,0.0416667,0.004946418,0.045,0.006997372,0.043333,0.01001348,0.0433333,0.0004021478,0.045417,-0.0004825773,0.040417,-0.0002010739,0.045417,-0.004785559,0.0441667,0.001327088,0.0425,0.003056323,0.0425,0.0009651547,0.042917,0.001286873,0.044583,0.003337827,0.044583,0.00454427
0.0479167,0.0008042956,0.047917,0.002131383,0.051667,-0.00993305,0.051667,0.001045584,0.051667,-0.003739974,0.04875,-0.00494642,0.04875,0.0010858,0.0525,0.00269439,0.0508333,0.002050954,0.0495833,0.00546921,0.0495833,-0.01089821,0.051667,0.001166229,0.053333,-0.002734605,0.053333,-0.003378041,0.048333,0.004946418,0.04875,0.0005227921,0.0520833,-0.003378041,0.0491667,0.005911573,0.0491667,0.006514794,0.049583,0.0008445104,0.052917,0.00233246,0.0479167,0.005992002,0.0533333,0,0.0504167,-8.042956e-05,0.0520833,0.006836512,0.0529167,0.008726607,0.052917,0.005026847,0.05,0.0006836512,0.05,-0.00277482,0.04875,0.006474579,0.0504167,0.001930309,0.0520833,-0.0007640808,0.049167,-0.008967896,0.0475,0.0009651547,0.049167,0.003739974,0.05125,0.002412887,0.0529167,0.002573746,0.0483333,0.004664914,0.051667,0.006796298,0.05,0.01001348,0.05,-0.0003217182,0.052083,-0.001407517,0.047083,-0.002010739,0.052083,-0.006957157,0.0508333,0.001246658,0.049167,0.001809665,0.049167,-0.0004021478,0.049583,0.0002815035,0.05125,0.002975894,0.05125,0.004222552
0.0545833,0.000723866,0.054583,0.001367302,0.058333,-0.01109928,0.058333,0.001085799,0.058333,-0.004745344,0.0554167,-0.00691694,0.0554167,0.000643436,0.0591667,0.002091169,0.0575,0.002292242,0.05625,0.006152861,0.05625,-0.01238615,0.058333,0.001528162,0.06,-0.003217182,0.06,-0.004584485,0.055,0.005308351,0.0554167,0.000361933,0.05875,-0.003941048,0.0558333,0.005107277,0.0558333,0.007077801,0.05625,-0.001005369,0.059583,0.00229224,0.0545833,0.005831143,0.06,0.0002412887,0.0570833,0.0005227921,0.05875,0.007158231,0.0595833,0.0106167,0.059583,0.006514794,0.056667,-4.021478e-05,0.0566667,-0.002815035,0.0554167,0.006273506,0.0570833,0.002895464,0.05875,-0.001206443,0.055833,-0.009852621,0.0541667,0.0002815035,0.055833,0.004222552,0.057917,0.00184988,0.0595833,0.002533531,0.055,0.005308351,0.058333,0.006715868,0.056667,0.01021455,0.0566667,-0.000723866,0.05875,-0.002211813,0.05375,-0.002734605,0.05875,-0.008847251,0.0575,0.001528162,0.055833,0.001206443,0.055833,-0.001045584,0.05625,-0.0002010739,0.057917,0.003458471,0.057917,0.003981263
0.06125,0.0008042956,0.06125,0.0006836512,0.065,-0.01182315,0.065,0.001005369,0.065,-0.005348566,0.0620833,-0.00872661,0.0620833,0.000482577,0.0658333,0.001568376,0.0641667,0.002734605,0.0629167,0.006675653,0.0629167,-0.01355238,0.065,0.001930309,0.066667,-0.003579115,0.066667,-0.005670284,0.061667,0.005790928,0.0620833,0.0002010739,0.0654167,-0.004142122,0.0625,0.004423626,0.0625,0.008002741,0.062917,-0.002734605,0.06625,0.00213138,0.06125,0.005268136,0.0666667,0.0002010739,0.06375,0.0009249399,0.0654167,0.00731909,0.06625,0.01226551,0.06625,0.007761452,0.063333,-0.0003217182,0.0633333,-0.002573746,0.0620833,0.006072432,0.06375,0.003378041,0.0654167,-0.001608591,0.0625,-0.01069713,0.0608333,-0.0004423626,0.0625,0.004986633,0.064583,0.001246658,0.06625,0.002412887,0.0616667,0.006112646,0.065,0.005951787,0.063333,0.01065692,0.0633333,-0.0009249399,0.065417,-0.002895464,0.060417,-0.003136753,0.065417,-0.01045584,0.0641667,0.00176945,0.0625,0.001126014,0.0625,-0.001206443,0.062917,-0.0003217182,0.064583,0.004262767,0.064583,0.003820404
