Method 1_Time / min,Method 1_Absorbance / mAu,Method 2_Time / min,Method 2_Absorbance / mAu,Method 3_Time / min,Method 3_Absorbance / mAu,Method 4_Time / min,Method 4_Absorbance / mAu,Method 5_Time / min,Method 5_Absorbance / mAu,Method 6_Time / min,Method 6_Absorbance / mAu,Method 7_Time / min,Method 7_Absorbance / mAu,Method 8_Time / min,Method 8_Absorbance / mAu,Method 9_Time / min,Method 9_Absorbance / mAu,Method 10_Time / min,Method 10_Absorbance / mAu,Method 11_Time / min,Method 11_Absorbance / mAu,Method 12_Time / min,Method 12_Absorbance / mAu,Method 13_Time / min,Method 13_Absorbance / mAu,Method 14_Time / min,Method 14_Absorbance / mAu,Method 15_Time / min,Method 15_Absorbance / mAu,Method 16_Time / min,Method 16_Absorbance / mAu,Method 17_Time / min,Method 17_Absorbance / mAu,Method 18_Time / min,Method 18_Absorbance / mAu,Method 19_Time / min,Method 19_Absorbance / mAu,Method 20_Time / min,Method 20_Absorbance / mAu,Method 21_Time / min,Method 21_Absorbance / mAu,Method 22_Time / min,Method 22_Absorbance / mAu,Method 23_Time / min,Method 23_Absorbance / mAu,Method 24_Time / min,Method 24_Absorbance / mAu,Method 25_Time / min,Method 25_Absorbance / mAu,Method 26_Time / min,Method 26_Absorbance / mAu,Method 27_Time / min,Method 27_Absorbance / mAu,Method 28_Time / min,Method 28_Absorbance / mAu,Method 29_Time / min,Method 29_Absorbance / mAu,Method 30_Time / min,Method 30_Absorbance / mAu,Method 31_Time / min,Method 31_Absorbance / mAu,Method 32_Time / min,Method 32_Absorbance / mAu,Method 33_Time / min,Method 33_Absorbance / mAu,Method 34_Time / min,Method 34_Absorbance / mAu,Method 35_Time / min,Method 35_Absorbance / mAu,Method 36_Time / min,Method 36_Absorbance / mAu,Method 37_Time / min,Method 37_Absorbance / mAu,Method 38_Time / min,Method 38_Absorbance / mAu,Method 39_Time / min,Method 39_Absorbance / mAu,Method 40_Time / min,Method 40_Absorbance / mAu,Method 41_Time / min,Method 41_Absorbance / mAu,Method 42_Time / min,Method 42_Absorbance / mAu,Method 43_Time / min,Method 43_Absorbance / mAu,Method 44_Time / min,Method 44_Absorbance / mAu,Method 45_Time / min,Method 45_Absorbance / mAu,Method 46_Time / min,Method 46_Absorbance / mAu,Method 47_Time / min,Method 47_Absorbance / mAu,Method 48_Time / min,Method 48_Absorbance / mAu,Method 49_Time / min,Method 49_Absorbance / mAu,Method 50_Time / min,Method 50_Absorbance / mAu
0.00458333,0,0.00291667,0,0.00166667,0,0.005,0,0.005,0,0.00208333,0,0.00083333,0,0.00583333,0,0.00583333,0,0.00625,0,0.00291667,0,0.00666667,0,0.005,0,0.0054167,0,0.0054167,0,0.00375,0,0.00375,0,0.0058333,0,0.0041667,0,0.0041667,0,0.00125,0,0.00125,0,0.00125,0,0.0016667,0,0.005,0,0.0066667,0,0.0066667,0,0.0020833,0,0.00375,0,0.00375,0,0.0058333,0,0.000833333,0,0.00625,0,0.00291667,0,0.00625,0,0.005,0,0.0033333,0,0.00166667,0,0.000416667,0,0.00041667,0,0.0058333,0,0.0058333,0,0.0025,0,0.000833333,0,0.00625,0,0.00125,0,0.00125,0,0.0033333,0,0.005,0,0.00208333,0
0.01125,0.001761219,0.00958333,0.00120083,0.00833333,0.001601108,0.0116667,0.001160804,0.0116667,0.002201524,0.00875,0.001481025,0.0075,0.001120776,0.0125,0.00172119,0.0125,0.001440997,0.0129167,0.0008405819,0.00958333,0.00192133,0.0133333,0.002201524,0.011667,0.002041413,0.012083,0.000680471,0.012083,0.003442383,0.010417,0.002001385,0.0104167,0.002161496,0.0125,0.001721191,0.010833,0.001521053,0.010833,0.00280194,0.00791667,0.00280194,0.0079167,0.003762604,0.0079167,0.004202909,0.0083333,0.001280887,0.011667,0.002081441,0.013333,0.002721884,0.013333,0.002081441,0.00875,0.0006004156,0.0104167,0.0004002771,0.010417,0.00384266,0.0125,0.001320914,0.0075,0.00192133,0.0129167,0.002721884,0.00958333,0.002881995,0.012917,0.003082133,0.011667,0.001761219,0.01,0.002401662,0.00833333,0.001000693,0.00708333,-0.0006004156,0.0070833,0.001240859,0.0125,0.001521053,0.0125,0.0003202217,0.0091667,0.0002401662,0.0075,0.0006004156,0.012917,0.003282272,0.0079167,0.0006004156,0.00791667,0.003442383,0.01,0.0007204987,0.011667,0.00244169,0.00875,0.002001385
0.0179167,0.003602494,0.01625,0.00228158,0.015,0.002841967,0.0183333,0.002241552,0.0183333,0.00488338,0.0154167,0.002681856,0.014167,0.002201524,0.0191667,0.00352244,0.0191667,0.003402355,0.0195833,0.001601108,0.01625,0.003522438,0.02,0.004282965,0.018333,0.003762604,0.01875,0.001561081,0.01875,0.006924793,0.017083,0.00436302,0.0170833,0.004923408,0.019167,0.003402355,0.0175,0.003002078,0.0175,0.005363713,0.0145833,0.004843353,0.014583,0.007204987,0.014583,0.008005541,0.015,0.002922023,0.018333,0.004443075,0.02,0.005123547,0.02,0.004202909,0.015417,0.001280887,0.0170833,0.000960665,0.017083,0.007965514,0.019167,0.002841967,0.0141667,0.004523131,0.0195833,0.005523824,0.01625,0.005483796,0.019583,0.006564544,0.018333,0.003362327,0.016667,0.004523131,0.015,0.002001385,0.01375,-0.001681164,0.01375,0.001961358,0.019167,0.002881995,0.019167,0.0004403048,0.015833,0.0004002771,0.0141667,0.0008806096,0.019583,0.006644599,0.014583,0.001280887,0.0145833,0.006604572,0.016667,0.001320914,0.018333,0.005123547,0.0154167,0.003642521
0.0245833,0.004843353,0.0229167,0.00312216,0.0216667,0.004282965,0.025,0.002601801,0.025,0.006444461,0.0220833,0.003242244,0.020833,0.003242244,0.0258333,0.00432299,0.0258333,0.004603186,0.02625,0.001641136,0.0229167,0.004563159,0.0266667,0.005123547,0.025,0.004162882,0.025417,0.001761219,0.025417,0.009726733,0.02375,0.006244322,0.02375,0.00716496,0.025833,0.004322992,0.024167,0.003642521,0.024167,0.007044876,0.02125,0.006884766,0.02125,0.01080748,0.02125,0.01156801,0.021667,0.005363713,0.025,0.006044184,0.026667,0.006364405,0.026667,0.005603879,0.022083,0.00192133,0.02375,0.0008005541,0.02375,0.0111277,0.025833,0.003642521,0.0208333,0.00820568,0.02625,0.006724655,0.0229167,0.007405126,0.02625,0.009406511,0.025,0.004082826,0.023333,0.005924101,0.0216667,0.002641829,0.0204167,-0.002641829,0.020417,0.00296205,0.025833,0.003402355,0.025833,8.005541e-05,0.0225,0.000280194,0.0208333,0.001080748,0.02625,0.008926179,0.02125,0.001761219,0.02125,0.009686705,0.023333,0.00104072,0.025,0.007004849,0.0220833,0.005123547
0.03125,0.004963436,0.0295833,0.00280194,0.0283333,0.004643214,0.0316667,0.002001385,0.0316667,0.006004156,0.02875,0.002761912,0.0275,0.003642521,0.0325,0.00364252,0.0325,0.004603186,0.0329167,0.0006404433,0.0295833,0.004403048,0.0333333,0.004803325,0.031667,0.003282272,0.032083,0.00104072,0.032083,0.01148795,0.030417,0.006724655,0.0304167,0.007925486,0.0325,0.004483103,0.030833,0.00296205,0.030833,0.00768532,0.0279167,0.00768532,0.027917,0.01252867,0.027917,0.01320914,0.028333,0.007004849,0.031667,0.006244322,0.033333,0.006564544,0.033333,0.006124239,0.02875,0.001961358,0.0304167,-0.0007605264,0.030417,0.01208837,0.0325,0.003042106,0.0275,0.01104765,0.0329167,0.006204295,0.0295833,0.008085597,0.032917,0.0111277,0.031667,0.004002771,0.03,0.005884073,0.0283333,0.002601801,0.0270833,-0.004403048,0.027083,0.002922023,0.0325,0.002521746,0.0325,-0.0007204987,0.029167,-0.0003602494,0.0275,0.0003202217,0.032917,0.009966899,0.027917,0.001360942,0.0279167,0.01116773,0.03,-0.0004403048,0.031667,0.007565237,0.02875,0.005443768
0.0379167,0.003922715,0.03625,0.00112078,0.035,0.003522438,0.0383333,0.000680471,0.0383333,0.003562466,0.0354167,0.001160804,0.034167,0.0033223,0.0391667,0.00136094,0.0391667,0.003402355,0.0395833,-0.001240859,0.03625,0.003242244,0.04,0.003722577,0.038333,0.001240859,0.03875,-0.0005603879,0.03875,0.0118482,0.037083,0.005603879,0.0370833,0.006844738,0.039167,0.004082826,0.0375,0.001200831,0.0375,0.007365098,0.0345833,0.006644599,0.034583,0.01200831,0.034583,0.01228851,0.035,0.007124932,0.038333,0.005283657,0.04,0.006244322,0.04,0.005844045,0.035417,0.001360942,0.0370833,-0.003562466,0.037083,0.01084751,0.039167,0.000960665,0.0341667,0.01244862,0.0395833,0.004843353,0.03625,0.007445154,0.039583,0.01168809,0.038333,0.0033223,0.036667,0.004122854,0.035,0.001761219,0.03375,-0.007405126,0.03375,0.001160804,0.039167,0.0002401662,0.039167,-0.001681164,0.035833,-0.001721191,0.0341667,-0.001761219,0.039583,0.009646677,0.034583,0.0003202217,0.0345833,0.01060734,0.036667,-0.003002078,0.038333,0.006884766,0.0354167,0.003922715
0.0445833,0.003242244,0.0429167,-0.000640443,0.0416667,0.001601108,0.045,-0.0004403048,0.045,0.001200831,0.0420833,-0.000960665,0.040833,0.002641829,0.0458333,-0.000200139,0.0458333,0.00280194,0.04625,-0.002881995,0.0429167,0.00192133,0.0466667,0.003002078,0.045,-0.000280194,0.045417,-0.002121468,0.045417,0.01264876,0.04375,0.004322992,0.04375,0.00576399,0.045833,0.00384266,0.044167,-0.0003202217,0.044167,0.00680471,0.04125,0.004042798,0.04125,0.01016704,0.04125,0.009646677,0.041667,0.006324378,0.045,0.004923408,0.046667,0.006324378,0.046667,0.005563851,0.042083,0.0008005541,0.04375,-0.006124239,0.04375,0.009486567,0.045833,-0.0006404433,0.0408333,0.01284889,0.04625,0.004403048,0.0429167,0.006444461,0.04625,0.01240859,0.045,0.002881995,0.043333,0.002121468,0.0416667,0.0005203602,0.0404167,-0.01160804,0.040417,-0.001881302,0.045833,-0.002001385,0.045833,-0.002361635,0.0425,-0.003162189,0.0408333,-0.005043491,0.04625,0.009486567,0.04125,-0.001000693,0.04125,0.008846123,0.043333,-0.005563851,0.045,0.006604572,0.0420833,0.001681164
0.05125,0.003562466,0.0495833,-0.00136094,0.0483333,0.0009206373,0.0516667,-0.001200831,0.0516667,-0.0003602494,0.04875,-0.00280194,0.0475,0.002241552,0.0525,-0.00052036,0.0525,0.003042106,0.0529167,-0.004002771,0.0495833,0.001080748,0.0533333,0.002681856,0.051667,-0.0008806096,0.052083,-0.003242244,0.052083,0.01449003,0.050417,0.003962743,0.0504167,0.005603879,0.0525,0.003562466,0.050833,-0.001080748,0.050833,0.006524516,0.0479167,0.002161496,0.047917,0.009286428,0.047917,0.007605264,0.048333,0.006684627,0.051667,0.005683934,0.053333,0.006964821,0.053333,0.005323685,0.04875,0.0008405819,0.0504167,-0.007405126,0.050417,0.00908629,0.0525,-0.000960665,0.0475,0.01412978,0.0529167,0.004803325,0.0495833,0.006444461,0.052917,0.01352937,0.051667,0.003042106,0.05,0.001240859,0.0483333,-0.0007204987,0.0470833,-0.01525056,0.047083,-0.003962743,0.0525,-0.003402355,0.0525,-0.002721884,0.049167,-0.003962743,0.0475,-0.007845431,0.052917,0.009486567,0.047917,-0.001961358,0.0479167,0.008245708,0.05,-0.007485181,0.051667,0.007004849,0.04875,0.0008005541
0.0579167,0.00436302,0.05625,-0.00160111,0.055,0.001320914,0.0583333,-0.001681164,0.0583333,-0.001841275,0.0554167,-0.004523131,0.054167,0.002081441,0.0591667,0.000280194,0.0591667,0.003522438,0.0595833,-0.005083519,0.05625,0.0006404433,0.06,0.002681856,0.058333,-0.001080748,0.05875,-0.004082826,0.05875,0.0170518,0.057083,0.003922715,0.0570833,0.006164267,0.059167,0.00296205,0.0575,-0.001440997,0.0575,0.006164267,0.0545833,0.001240859,0.054583,0.009126317,0.054583,0.006084211,0.055,0.007805403,0.058333,0.006724655,0.06,0.008045569,0.06,0.005003463,0.055417,0.0008005541,0.0570833,-0.007645292,0.057083,0.008966206,0.059167,-0.0005603879,0.0541667,0.01549072,0.0595833,0.005643907,0.05625,0.006924793,0.059583,0.01485028,0.058333,0.003442383,0.056667,0.001240859,0.055,-0.001601108,0.05375,-0.01781233,0.05375,-0.004843353,0.059167,-0.004242937,0.059167,-0.003202217,0.055833,-0.004523131,0.0541667,-0.009766761,0.059583,0.009566622,0.054583,-0.002641829,0.0545833,0.00872604,0.056667,-0.008886151,0.058333,0.007605264,0.0554167,0.001120776
0.0645833,0.005083519,0.0629167,-0.00220152,0.0616667,0.00192133,0.065,-0.001841275,0.065,-0.003362327,0.0620833,-0.006084211,0.060833,0.002241552,0.0658333,0.00140097,0.0658333,0.003922715,0.06625,-0.006364405,0.0629167,0.0002401662,0.0666667,0.002721884,0.065,-0.001200831,0.065417,-0.004603186,0.065417,0.0199338,0.06375,0.003722577,0.06375,0.007084904,0.065833,0.002321607,0.064167,-0.001601108,0.064167,0.00576399,0.06125,0.000960665,0.06125,0.008806096,0.06125,0.004443075,0.061667,0.00872604,0.065,0.007525209,0.066667,0.00908629,0.066667,0.004643214,0.062083,0.0006004156,0.06375,-0.007405126,0.06375,0.008886151,0.065833,-8.005541e-05,0.0608333,0.01625125,0.06625,0.006884766,0.0629167,0.007765375,0.06625,0.01577092,0.065,0.003882688,0.063333,0.001601108,0.0616667,-0.001961358,0.0604167,-0.01961358,0.060417,-0.005083519,0.065833,-0.005163574,0.065833,-0.00384266,0.0625,-0.004723269,0.0608333,-0.01096759,0.06625,0.009406511,0.06125,-0.003042106,0.06125,0.009406511,0.063333,-0.009766761,0.065,0.008125625,0.0620833,0.001761219
