Method 1_Time / min,Method 1_Absorbance / mAu,Method 2_Time / min,Method 2_Absorbance / mAu,Method 3_Time / min,Method 3_Absorbance / mAu,Method 4_Time / min,Method 4_Absorbance / mAu,Method 5_Time / min,Method 5_Absorbance / mAu,Method 6_Time / min,Method 6_Absorbance / mAu,Method 7_Time / min,Method 7_Absorbance / mAu,Method 8_Time / min,Method 8_Absorbance / mAu,Method 9_Time / min,Method 9_Absorbance / mAu,Method 10_Time / min,Method 10_Absorbance / mAu,Method 11_Time / min,Method 11_Absorbance / mAu,Method 12_Time / min,Method 12_Absorbance / mAu,Method 13_Time / min,Method 13_Absorbance / mAu,Method 14_Time / min,Method 14_Absorbance / mAu,Method 15_Time / min,Method 15_Absorbance / mAu,Method 16_Time / min,Method 16_Absorbance / mAu,Method 17_Time / min,Method 17_Absorbance / mAu,Method 18_Time / min,Method 18_Absorbance / mAu,Method 19_Time / min,Method 19_Absorbance / mAu,Method 20_Time / min,Method 20_Absorbance / mAu,Method 21_Time / min,Method 21_Absorbance / mAu,Method 22_Time / min,Method 22_Absorbance / mAu,Method 23_Time / min,Method 23_Absorbance / mAu,Method 24_Time / min,Method 24_Absorbance / mAu,Method 25_Time / min,Method 25_Absorbance / mAu,Method 26_Time / min,Method 26_Absorbance / mAu,Method 27_Time / min,Method 27_Absorbance / mAu,Method 28_Time / min,Method 28_Absorbance / mAu,Method 29_Time / min,Method 29_Absorbance / mAu,Method 30_Time / min,Method 30_Absorbance / mAu,Method 31_Time / min,Method 31_Absorbance / mAu,Method 32_Time / min,Method 32_Absorbance / mAu,Method 33_Time / min,Method 33_Absorbance / mAu,Method 34_Time / min,Method 34_Absorbance / mAu,Method 35_Time / min,Method 35_Absorbance / mAu,Method 36_Time / min,Method 36_Absorbance / mAu,Method 37_Time / min,Method 37_Absorbance / mAu,Method 38_Time / min,Method 38_Absorbance / mAu,Method 39_Time / min,Method 39_Absorbance / mAu,Method 40_Time / min,Method 40_Absorbance / mAu,Method 41_Time / min,Method 41_Absorbance / mAu,Method 42_Time / min,Method 42_Absorbance / mAu,Method 43_Time / min,Method 43_Absorbance / mAu,Method 44_Time / min,Method 44_Absorbance / mAu,Method 45_Time / min,Method 45_Absorbance / mAu,Method 46_Time / min,Method 46_Absorbance / mAu,Method 47_Time / min,Method 47_Absorbance / mAu,Method 48_Time / min,Method 48_Absorbance / mAu,Method 49_Time / min,Method 49_Absorbance / mAu,Method 50_Time / min,Method 50_Absorbance / mAu
0.00625,0,0.0016667,0,0.005,0,0.0066667,0,0.00541667,0,0.00208333,0,0.00416667,0,0.0029167,0,0.00291667,0,0.005,0,0.00666667,0,0.005,0,0.00375,0,0.0020833,0,0.00375,0,0.0058333,0,0.0025,0,0.0041667,0,0.0025,0,0.00125,0,0.0045833,0,0.0029167,0,0.00291667,0,0.0033333,0,0.0066667,0,0.00166667,0,0.00208333,0,0.000833333,0,0.0058333,0,0.0041667,0,0.00083333,0,0.0029167,0,0.00625,0,0.0045833,0,0.0029167,0,0.00666667,0,0.0033333,0,0.005,0,0.0020833,0,0.00375,0,0.0054167,0,0.0058333,0,0.0058333,0,0.0058333,0,0.00083333,0,0.0045833,0,0.00125,0,0.0029167,0,0.0029167,0,0.00125,0
0.0129167,0.0007989005,0.0083333,0.001080865,0.0116667,0.001738783,0.013333,0.001221848,0.0120833,0.001879766,0.00875,0.003007626,0.0108333,0.003007626,0.0095833,0.001597801,0.00958333,0.002302713,0.011667,0.0004229473,0.0133333,0.004323462,0.011667,0.003242596,0.010417,0.004041497,0.00875,0.00112786,0.010417,0.001268842,0.0125,0.0004229473,0.0091667,0.002067743,0.010833,0.002396702,0.0091667,0.001409824,0.0079167,0.004182479,0.01125,-0.0005169356,0.0095833,0.002819649,0.00958333,0.001879766,0.01,0.001691789,0.013333,0.002349707,0.00833333,0.003665544,0.00875,0.00385352,0.0075,0.003994503,0.0125,0.002819649,0.010833,0.002208725,0.0075,0.002960631,0.0095833,0.003524561,0.012917,0.00305462,0.01125,0.0007519064,0.0095833,0.002161731,0.0133333,0.002255719,0.01,0.001691789,0.011667,0.003148608,0.00875,0.002678666,0.010417,0.0009868771,0.012083,0.003336585,0.0125,0.00328959,0.0125,0.001644795,0.0125,0.0002819649,0.0075,0.003947508,0.01125,0.001738783,0.0079167,0.00249069,0.0095833,0.00305462,0.0095833,0.001174854,0.0079167,0.004323462
0.0195833,0.00136283,0.015,0.001785778,0.0183333,0.003994503,0.02,0.002349707,0.01875,0.003947508,0.0154167,0.006485192,0.0175,0.007143111,0.01625,0.002819649,0.01625,0.004699415,0.018333,0.0006579181,0.02,0.00770704,0.018333,0.006532187,0.017083,0.008458947,0.015417,0.002020748,0.017083,0.002584678,0.019167,0.0007519064,0.015833,0.003524561,0.0175,0.004605427,0.015833,0.002725661,0.014583,0.007989005,0.017917,-0.001174854,0.01625,0.005451321,0.01625,0.003947508,0.016667,0.003477567,0.02,0.005122362,0.015,0.007096116,0.0154167,0.00770704,0.0141667,0.007378081,0.019167,0.00554531,0.0175,0.004934386,0.014167,0.005122362,0.01625,0.006579181,0.019583,0.00578028,0.017917,0.001738783,0.01625,0.004182479,0.02,0.005122362,0.016667,0.003712538,0.018333,0.006015251,0.015417,0.004793403,0.017083,0.002114737,0.01875,0.006579181,0.019167,0.006203228,0.019167,0.003336585,0.019167,0.0002349707,0.014167,0.007754035,0.017917,0.003101614,0.014583,0.004276468,0.01625,0.00578028,0.01625,0.002725661,0.014583,0.008411953
0.02625,0.0008458947,0.021667,0.002302713,0.025,0.00521635,0.026667,0.001644795,0.0254167,0.004558432,0.0220833,0.01000975,0.0241667,0.01132559,0.022917,0.002960631,0.0229167,0.00634421,0.025,-0.0001879766,0.0266667,0.008881894,0.025,0.008223976,0.02375,0.0120775,0.022083,0.002302713,0.02375,0.003336585,0.025833,0.0007049122,0.0225,0.004558432,0.024167,0.005263345,0.0225,0.003665544,0.02125,0.01179553,0.024583,-0.00328959,0.022917,0.007519064,0.0229167,0.005639298,0.023333,0.004558432,0.026667,0.006532187,0.0216667,0.009727789,0.0220833,0.01151357,0.0208333,0.01094964,0.025833,0.006673169,0.024167,0.006626175,0.020833,0.006673169,0.022917,0.008411953,0.02625,0.006579181,0.024583,0.001738783,0.022917,0.005310339,0.0266667,0.006485192,0.023333,0.004934386,0.025,0.007754035,0.022083,0.006297216,0.02375,0.002866643,0.025417,0.008223976,0.025833,0.007237099,0.025833,0.004088491,0.025833,-0.001221848,0.020833,0.01174854,0.024583,0.003242596,0.02125,0.005592304,0.022917,0.007519064,0.022917,0.003806526,0.02125,0.01221848
0.0329167,-0.0006109239,0.028333,0.001315836,0.0316667,0.004746409,0.033333,-0.000939883,0.0320833,0.003571555,0.02875,0.01151357,0.0308333,0.01381628,0.029583,0.001080865,0.0295833,0.006485192,0.031667,-0.002255719,0.0333333,0.007989005,0.031667,0.008035999,0.030417,0.01329934,0.02875,0.0005639298,0.030417,0.002866643,0.0325,-0.000328959,0.029167,0.003665544,0.030833,0.003712538,0.029167,0.003524561,0.027917,0.01395726,0.03125,-0.007425075,0.029583,0.007989005,0.0295833,0.006015251,0.03,0.004088491,0.033333,0.00634421,0.0283333,0.01000975,0.02875,0.01306437,0.0275,0.01306437,0.0325,0.006156233,0.030833,0.006297216,0.0275,0.006109239,0.029583,0.007989005,0.032917,0.005028374,0.03125,-0.0002349707,0.029583,0.004746409,0.0333333,0.005733286,0.03,0.004511438,0.031667,0.008082994,0.02875,0.00578028,0.030417,0.002302713,0.032083,0.008082994,0.0325,0.00634421,0.0325,0.003524561,0.0325,-0.004135485,0.0275,0.01381628,0.03125,0.001785778,0.027917,0.004934386,0.029583,0.007331087,0.029583,0.003336585,0.027917,0.0136283
0.0395833,-0.002866643,0.035,-0.00136283,0.0383333,0.002537684,0.04,-0.00498138,0.03875,0.001550807,0.0354167,0.01066767,0.0375,0.01358131,0.03625,-0.002678666,0.03625,0.00521635,0.038333,-0.005357333,0.04,0.005404327,0.038333,0.005921263,0.037083,0.01179553,0.035417,-0.003148608,0.037083,0.001315836,0.039167,-0.002302713,0.035833,0.0007519064,0.0375,0.0002349707,0.035833,0.002161731,0.034583,0.01400426,0.037917,-0.01301738,0.03625,0.00634421,0.03625,0.004934386,0.036667,0.002020748,0.04,0.005075368,0.035,0.007848023,0.0354167,0.01193651,0.0341667,0.01329934,0.039167,0.004511438,0.0375,0.003806526,0.034167,0.003665544,0.03625,0.005169356,0.039583,0.001597801,0.037917,-0.004088491,0.03625,0.002819649,0.04,0.003101614,0.036667,0.002631672,0.038333,0.006767157,0.035417,0.002960631,0.037083,9.39883e-05,0.03875,0.006720163,0.039167,0.003900514,0.039167,0.001879766,0.039167,-0.008411953,0.034167,0.01334634,0.037917,-0.001033871,0.034583,0.00249069,0.03625,0.005451321,0.03625,0.000939883,0.034583,0.01231247
0.04625,-0.004793403,0.041667,-0.00441745,0.045,0.0007049122,0.046667,-0.007519064,0.0454167,9.39883e-05,0.0420833,0.008552935,0.0441667,0.0128764,0.042917,-0.006438198,0.0429167,0.004088491,0.045,-0.007895017,0.0466667,0.003477567,0.045,0.004088491,0.04375,0.009539812,0.042083,-0.007237099,0.04375,-0.0005169356,0.045833,-0.004088491,0.0425,-0.002725661,0.044167,-0.003007626,0.0425,0,0.04125,0.01235946,0.044583,-0.01828072,0.042917,0.003618549,0.0429167,0.003806526,0.043333,9.39883e-05,0.046667,0.004934386,0.0416667,0.004840397,0.0420833,0.009915765,0.0408333,0.01217148,0.045833,0.003759532,0.044167,0.001409824,0.040833,0.0002349707,0.042917,0.001409824,0.04625,-0.001268842,0.044583,-0.007284093,0.042917,0.00112786,0.0466667,0.001644795,0.043333,0.00112786,0.045,0.005451321,0.042083,-0.001033871,0.04375,-0.00192676,0.045417,0.00634421,0.045833,0.002208725,0.045833,0.0006579181,0.045833,-0.01170154,0.040833,0.01132559,0.044583,-0.003524561,0.04125,-0.0008928888,0.042917,0.003477567,0.042917,-0.001644795,0.04125,0.009586806
0.0529167,-0.006203228,0.048333,-0.00578028,0.0516667,-0.0003759532,0.053333,-0.008646923,0.0520833,-0.000939883,0.04875,0.007096116,0.0508333,0.01339333,0.049583,-0.00827097,0.0495833,0.004323462,0.051667,-0.009022877,0.0533333,0.002631672,0.051667,0.003007626,0.050417,0.007989005,0.04875,-0.009680795,0.050417,-0.002067743,0.0525,-0.00521635,0.049167,-0.004652421,0.050833,-0.005310339,0.049167,-0.001597801,0.047917,0.0112316,0.05125,-0.02265118,0.049583,0.001503813,0.0495833,0.004041497,0.05,-0.0007049122,0.053333,0.005357333,0.0483333,0.002913637,0.04875,0.009586806,0.0475,0.01240646,0.0525,0.003947508,0.050833,0.0007049122,0.0475,-0.001879766,0.049583,-0.001644795,0.052917,-0.00328959,0.05125,-0.0088349,0.049583,0.00112786,0.0533333,0.001503813,0.05,0.001033871,0.051667,0.004605427,0.04875,-0.003947508,0.050417,-0.002396702,0.052083,0.007378081,0.0525,0.001738783,0.0525,0.0002349707,0.0525,-0.01386327,0.0475,0.01071467,0.05125,-0.004793403,0.047917,-0.003148608,0.049583,0.002819649,0.049583,-0.002960631,0.047917,0.007660046
0.0595833,-0.007331087,0.055,-0.005874269,0.0583333,-0.001268842,0.06,-0.009069871,0.05875,-0.001785778,0.0554167,0.00554531,0.0575,0.0144272,0.05625,-0.008975882,0.05625,0.004934386,0.058333,-0.009210853,0.06,0.002631672,0.058333,0.002302713,0.057083,0.006673169,0.055417,-0.01071467,0.057083,-0.00328959,0.059167,-0.005686292,0.055833,-0.005733286,0.0575,-0.007237099,0.055833,-0.002631672,0.054583,0.01080865,0.057917,-0.02664568,0.05625,-0.0004699415,0.05625,0.004699415,0.056667,-0.0007049122,0.06,0.005451321,0.055,0.001644795,0.0554167,0.01024472,0.0541667,0.01409824,0.059167,0.00441745,0.0575,0.0007519064,0.054167,-0.002443696,0.05625,-0.004464444,0.059583,-0.004934386,0.057917,-0.009445824,0.05625,0.001973754,0.06,0.001832772,0.056667,0.00136283,0.058333,0.003900514,0.055417,-0.006156233,0.057083,-0.001973754,0.05875,0.009351836,0.059167,0.002161731,0.059167,4.699415e-05,0.059167,-0.01536709,0.054167,0.01104362,0.057917,-0.005028374,0.054583,-0.004840397,0.05625,0.002819649,0.05625,-0.003571555,0.054583,0.006203228
0.06625,-0.00827097,0.061667,-0.005592304,0.065,-0.002255719,0.066667,-0.009445824,0.0654167,-0.001973754,0.0620833,0.003430573,0.0641667,0.01503813,0.062917,-0.009116865,0.0629167,0.005639298,0.065,-0.008646923,0.0666667,0.003007626,0.065,0.001409824,0.06375,0.00521635,0.062083,-0.01085565,0.06375,-0.004229473,0.065833,-0.006015251,0.0625,-0.006673169,0.064167,-0.008881894,0.0625,-0.003618549,0.06125,0.01038571,0.064583,-0.03040521,0.062917,-0.002584678,0.0629167,0.005122362,0.063333,-0.0005639298,0.066667,0.005357333,0.0616667,0.0002819649,0.0620833,0.01085565,0.0608333,0.01649495,0.065833,0.004605427,0.064167,0.0009868771,0.060833,-0.002255719,0.062917,-0.007566058,0.06625,-0.006297216,0.064583,-0.009821777,0.062917,0.00305462,0.0666667,0.002208725,0.063333,0.001550807,0.065,0.003101614,0.062083,-0.008035999,0.06375,-0.001503813,0.065417,0.01174854,0.065833,0.002772655,0.065833,-0.0001409824,0.065833,-0.01663593,0.060833,0.01160755,0.064583,-0.004840397,0.06125,-0.00634421,0.062917,0.003477567,0.062917,-0.004088491,0.06125,0.004511438
